Comment,Abusive
"Mg,gn",Yes
Dengey,Yes
Lanjodaka,Yes
Pora puka,Yes
Well done,No
Na lavda,Yes
Modda,Yes
Kcpd,Yes
Erripuka,Yes
Ara erripuka,Yes
Denginchukoo,Yes
Evadu gudda denguthav enti,Yes
Nede nuvvu chekukoo,Yes
Venky,No
Langaveshalu veyaku,Yes
Lanja,Yes
Gudda lanjakodaka,Yes
Gudda balsindi aa,Yes
Modda gudda Moddakudu lanja lanjamunda puka pinchupka chekka kojja sulli erripuk balshinda dengutha,Yes
90mm rod dimpytha ekkuva dengithey,Yes
"Lanjodaka,nee Amman denga,maakeloudey,modda cheeku,erripooka,loudey ke ball,maaki choot,chootiya,lafoot,baadcow,mother fucking bitch",Yes
Natakalu adaku,Yes
Dengey,Yes
Yedhavana kodaka,Yes
Po ra puka,Yes
lowda,Yes
bloody asshole,Yes
lowde ke baal,Yes
sulli chekku,Yes
excellent,No
"Kojjana na kodaka, urru lanja munda,erri papa,sulli chike madda munda,madda cheke sulli kaodaka,gudha sulli cheke godha lanja",Yes
dumb fuck,Yes
"Lanja puku,sulli cheeku,erri puku,vachi naku",Yes
Erripukka,Yes
Erri puvvu,Yes
Jathi puku lo modda,Yes
Kittu oka andagaadu,Yes
Ni Amma kukka ni dengichkunta Kaamasutra 2 raasthunte nuuvu puttav ra lanja naila. Ni Amma ni dengi ninna 20 rupees icha dhanitho tiffin konukoni thinnu. Adhi Koda saripokapothe ni Amma paalu ni ammukoni AA dabbutho emanna thinnu bichagada.,Yes
Just open my val chat,Yes
"Basar,athulu,munda,jathi,modda,lekki,kuduvu,erripuka,karepuka,konda,pichipuka,bhadcow,lowda",Yes
"Lanja kodaka,ni pellam ni kukkalu denga",Yes
"Bewarse langa, godha lanjakodaka, 30 mins dengalanta adhi puka pulihora",Yes
"Dengey,maddachiku,sulliga,porambokku,pichigudaloda,badakav",Yes
"yerripuka ,munda ,lanja",Yes
lanja monda ni pellam nalla sulli teesi ni koduku moddalo pedtha chelli ni denge kaamakukka,Yes
"Life is short, say dengey to everyone",Yes
Denguthe devasena antav,Yes
"Mee Amma puku ni Denga, Lanjakodaka, Vatha Kaya, ",Yes
"Dengey, G balsindha, nee avva",Yes
bread,No
Lamdi,Yes
Shathagani kodukulu,Yes
Cum,Yes
Nigga,Yes
Tikkalakotamma,Yes
Nalla,Yes
Gajji,Yes
"Dhalit lanja,Low caste kodaka",Yes
Poyyyi tailor swift gudha chiku...aa tarvta justin Bieber modda cheeku,Yes
Aada dhaniki pirra andham mogodiki bojja andham..ni pu** ki thana puvvu andham,Yes
Dengey,Yes
Modda,Yes
Lanjaakodukaa,Yes
Mg,Yes
Pora pooka,Yes
baundi,No
chala baundi,No
atu poku ra,No
itu raa ra,No
velte vellu bro,No
Raja the great puka the great,Yes
Comment section lo em feel undhi maawa,No
battebas,Yes
Hukulo dialogue,Yes
Ah Kurchi Akkado Pettaney..!!,No
E video na moda varaku vachindii,Yes
Ni gudha dhenganiki vacham,Yes
Robbery....dhongathanam okati kaadha........cha nen okate anukunnane,No
Yaaak thu,No
Powerful dialogue powerpull dialogue,No
Na modda varaki vachindi ra ni video,Yes
E video kuda modavark poyetatundhi,Yes
